id,price_doc
30474,5552937.5
30475,8354243.0
30476,5497474.0
30477,5756860.0
30478,5132738.5
30479,9540845.0
30480,4309884.0
30481,4309604.5
30482,4892894.5
30483,4735211.0
30484,6657954.0
30485,5046406.5
30486,3824347.75
30487,3758058.0
30488,6247355.5
30489,6316942.0
30490,22738530.0
30491,19022176.0
30492,5703785.5
30493,13215414.0
30494,6775241.0
30495,11316104.0
30496,8813074.0
30497,8558143.0
30498,4597023.0
30499,7645366.5
30500,11497683.0
30501,7187186.5
30502,3057007.75
30503,6633420.5
30504,5763792.5
30505,11361369.0
30506,3397052.75
30507,4816591.5
30508,5574575.5
30509,7721609.0
30510,9408115.0
30511,6539160.5
30512,6457475.0
30513,4316288.5
30514,3628729.0
30515,9739623.0
30516,5908298.0
30517,11624342.0
30518,8960658.0
30519,4597685.0
30520,7078493.0
30521,6089950.0
30522,7673452.5
30523,6409881.0
30524,10877257.0
30525,10089796.0
30526,4943672.5
30527,5135299.5
30528,6857531.5
30529,6783070.5
30530,6134530.5
30531,14821552.0
30532,4698128.0
30533,10345670.0
30534,6785205.5
30535,9606234.0
30536,5843163.5
30537,11943847.0
30538,5128858.5
30539,8556878.0
30540,9793533.0
30541,5839208.5
30542,2187396.75
30543,5610656.5
30544,6964087.0
30545,8508193.0
30546,4311142.0
30547,9876861.0
30548,4508818.0
30549,5180410.5
30550,12415396.0
30551,5146850.5
30552,1921404.375
30553,7228505.5
30554,11038333.0
30555,6404443.0
30556,9328973.0
30557,7659035.0
30558,9574296.0
30559,6551751.0
30560,6075140.5
30561,7086145.5
30562,12035710.0
30563,5147489.0
30564,7390840.5
30565,6782811.5
30566,7296936.5
30567,2050787.25
30568,10120827.0
30569,10082005.0
30570,6558346.0
30571,7628528.0
30572,4962964.5
30573,6659217.5
30574,6224560.5
30575,7643988.5
30576,4919986.5
30577,4143020.25
30578,3362061.0
30579,7378312.0
30580,4765623.0
30581,5586709.5
30582,13142543.0
30583,6962254.5
30584,4575744.0
30585,2748536.25
30586,8915600.0
30587,5907323.5
30588,8364391.5
30589,7320900.5
30590,12754454.0
30591,5410937.5
30592,6827436.0
30593,8122345.5
30594,6752516.0
30595,5537564.0
30596,6788933.5
30597,6667657.0
30598,9718394.0
30599,11082107.0
30600,5441090.5
30601,6266850.5
30602,1769054.5
30603,12512437.0
30604,4731847.5
30605,6799061.0
30606,25945096.0
30607,7059556.0
30608,8842861.0
30609,6332232.0
30610,2984171.0
30611,5632632.0
30612,7537604.0
30613,8653171.0
30614,18101924.0
30615,7793080.5
30616,5751701.5
30617,9641937.0
30618,5132665.5
30619,4398583.0
30620,2711967.0
30621,8664566.0
30622,7766333.5
30623,6225302.5
30624,6814010.0
30625,8239835.5
30626,6539603.0
30627,7358067.5
30628,6556682.5
30629,5268779.0
30630,4792495.0
30631,6185546.0
30632,4122930.5
30633,6084777.5
30634,11825407.0
30635,9765125.0
30636,5423610.5
30637,9613052.0
30638,5949960.0
30639,7539617.0
30640,4678326.0
30641,8126111.0
30642,6662127.0
30643,7879989.0
30644,9718394.0
30645,7361036.5
30646,5335316.0
30647,4867325.0
30648,24124288.0
30649,2370801.5
30650,5054088.5
30651,3447640.75
30652,4543886.5
30653,7747411.0
30654,4579987.5
30655,12685769.0
30656,3977807.75
30657,6529626.0
30658,11009632.0
30659,4790964.0
30660,8742723.0
30661,6896324.0
30662,8124887.0
30663,16283258.0
30664,12520291.0
30665,6288109.5
30666,2810889.25
30667,4281825.0
30668,9158171.0
30669,5091465.0
30670,2462491.75
30671,7450782.5
30672,15125993.0
30673,10446978.0
30674,11945100.0
30675,2148630.75
30676,6805126.0
30677,4381718.5
30678,19750904.0
30679,5937858.0
30680,5308497.5
30681,2416842.0
30682,8826061.0
30683,9842521.0
30684,4809197.0
30685,7069318.0
30686,9497143.0
30687,5115357.0
30688,4628600.0
30689,15464890.0
30690,25399342.0
30691,4564364.5
30692,6395385.5
30693,11536961.0
30694,5667478.0
30695,7268509.5
30696,6587638.5
30697,12093883.0
30698,7899024.5
30699,5953405.5
30700,5026176.0
30701,9718394.0
30702,6141215.5
30703,3820582.0
30704,11706712.0
30705,9193297.0
30706,24323794.0
30707,3811760.25
30708,14044196.0
30709,6323337.0
30710,7560829.5
30711,4699974.5
30712,4092781.0
30713,6185268.5
30714,7245608.0
30715,3893815.5
30716,9842521.0
30717,6598497.5
30718,9325130.0
30719,14913202.0
30720,7680188.0
30721,4439012.5
30722,7488059.5
30723,6359222.5
30724,12115517.0
30725,6920628.5
30726,11973111.0
30727,9744343.0
30728,11475205.0
30729,3567949.25
30730,6346167.0
30731,6404907.0
30732,4605751.5
30733,9910280.0
30734,7289925.5
30735,5508242.5
30736,5672507.0
30737,6780231.0
30738,6199873.5
30739,4810114.5
30740,7009048.0
30741,11695218.0
30742,4224798.5
30743,5064476.5
30744,9247339.0
30745,6849250.5
30746,5696696.5
30747,17181958.0
30748,16575369.0
30749,5027835.0
30750,6548646.0
30751,3318107.0
30752,7459698.5
30753,10232729.0
30754,5619149.0
30755,5054054.5
30756,6722387.5
30757,5329005.0
30758,10846099.0
30759,6016239.5
30760,4405157.0
30761,10051897.0
30762,6919836.5
30763,12012019.0
30764,6229911.5
30765,6215840.5
30766,3616726.75
30767,10118241.0
30768,4514941.0
30769,7215454.0
30770,6224424.0
30771,2882120.25
30772,8546471.0
30773,8267109.0
30774,5826931.0
30775,12433786.0
30776,5697517.0
30777,6423460.0
30778,9547635.0
30779,6534379.0
30780,7707814.0
30781,6789717.0
30782,5246777.0
30783,5701409.0
30784,3661129.25
30785,5395005.5
30786,4203678.5
30787,6270976.0
30788,5674774.0
30789,7670065.0
30790,6627938.0
30791,10193379.0
30792,7399663.5
30793,11280719.0
30794,12874437.0
30795,11409709.0
30796,11920382.0
30797,14371241.0
30798,2754330.0
30799,10509893.0
30800,14713252.0
30801,6343801.0
30802,22032382.0
30803,2893306.75
30804,3848564.75
30805,15261967.0
30806,7340475.5
30807,6019034.5
30808,10380993.0
30809,4968899.0
30810,11448621.0
30811,4405699.0
30812,5482175.5
30813,5240501.0
30814,2510909.25
30815,3850132.25
30816,8547286.0
30817,1878682.25
30818,7939414.5
30819,7803767.5
30820,5285457.5
30821,25768636.0
30822,9232183.0
30823,7844860.0
30824,3639250.75
30825,5398284.0
30826,10076218.0
30827,5752052.5
30828,5952071.5
30829,5545496.5
30830,8702345.0
30831,6641161.5
30832,6077221.0
30833,5097382.5
30834,4232848.0
30835,7488352.0
30836,6630517.0
30837,5104971.5
30838,4486539.5
30839,6092128.5
30840,11290103.0
30841,11658870.0
30842,7205098.0
30843,5700696.5
30844,6846768.5
30845,9795569.0
30846,4269958.5
30847,6033603.5
30848,8543293.0
30849,4401310.5
30850,4123339.25
30851,5107280.0
30852,6636223.5
30853,4551437.0
30854,5783946.0
30855,7618160.5
30856,8877386.0
30857,2251614.75
30858,4294375.5
30859,6106909.0
30860,5972575.5
30861,8980317.0
30862,6383491.0
30863,6268052.0
30864,6410211.5
30865,9850841.0
30866,7102206.5
30867,5858239.5
30868,8765071.0
30869,5550724.0
30870,5629555.0
30871,8879164.0
30872,5062250.5
30873,3947646.25
30874,4914935.5
30875,6548121.5
30876,5029604.5
30877,10305533.0
30878,5697854.0
30879,11255830.0
30880,6373417.5
30881,1859160.5
30882,11186934.0
30883,3791269.5
30884,5795850.5
30885,5279603.5
30886,7554703.0
30887,5732174.0
30888,4455732.0
30889,5283068.5
30890,7151441.5
30891,3622522.5
30892,3763940.25
30893,4350797.0
30894,5714119.0
30895,4303875.0
30896,6521131.5
30897,7896923.0
